step,energy,beta,lambda,delta
0,8877.36,0.00192659,1,3.14
1,7891.4,0.00199783,0.98311,3.14
2,6833.71,0.00190184,0.985446,3.14
3,11016.5,0.00243357,0.992401,3.14
4,7481.93,0.00228084,1.00133,3.14
5,7870.76,0.00213477,1.01242,3.14
6,8865.23,0.00261104,1.02424,3.14
7,10931.8,0.0033893,1.03699,3.14
8,6396.38,0.0014417,1.05019,3.14
9,11728.2,0.0043474,1.0646,3.14
10,10975.4,0.00296211,1.07952,3.14
11,8338.11,0.0014864,1.09488,3.14
12,8525.18,0.00187316,1.11118,3.14
13,6496.06,0.00185241,1.12723,3.14
14,5094.24,0.00140655,1.14418,3.14
15,10234.8,0.00415705,1.16183,3.14
16,4339.37,0.00136964,1.17945,3.14
17,7933.1,0.00196935,1.19777,3.14
18,7096.95,0.00181029,1.21591,3.14
19,5161.44,0.00167927,1.23482,3.14
20,9217.59,0.00322371,1.25402,3.14
21,11687.1,0.00407507,1.27357,3.14
22,7265.21,0.00272911,1.2934,3.14
23,5580.87,0.00207372,1.31382,3.14
24,6121.96,0.00191493,1.33468,3.14
25,10661.2,0.00755132,1.35588,3.14
26,12247.3,0.00459729,1.37801,3.14
27,10201.7,0.00354591,1.40018,3.14
28,8474.92,0.00226144,1.42252,3.14
29,5143.59,0.00164076,1.44521,3.14
30,7048.76,0.00186604,1.46826,3.14
31,7674.25,0.0035286,1.49198,3.14
32,6755.26,0.00244197,1.51625,3.14
33,5346.12,0.00155265,1.54069,3.14
34,8407.66,0.00357686,1.56561,3.14
35,7076.8,0.00186891,1.5912,3.14
36,4469.61,0.00121003,1.61712,3.14
37,7177.24,0.00243166,1.6437,3.14
38,7265.93,0.0017862,1.67058,3.14
39,6719.17,0.00164746,1.69781,3.14
40,13331.7,0.00429076,1.72558,3.14
41,8246.92,0.00187442,1.75377,3.14
42,7672.13,0.00213046,1.78245,3.14
43,3853.89,0.0012194,1.81163,3.14
44,6101.84,0.00181647,1.84142,3.14
45,9057.32,0.00279272,1.87166,3.14
46,5999.8,0.00220428,1.90254,3.14
47,7550.85,0.00202437,1.93389,3.14
48,7483.85,0.00225028,1.96562,3.14
49,7343.81,0.00183061,1.99798,3.14
50,9525.18,0.0036966,2.03112,3.14
51,6073.59,0.00288522,2.06463,3.14
52,5238.16,0.00203688,2.09883,3.14
53,6667.8,0.00343528,2.13363,3.14
54,6724.19,0.00176073,2.16881,3.14
55,5636.38,0.00172346,2.20497,3.14
56,11187.9,0.00434452,2.24153,3.14
57,7250.01,0.00189284,2.27867,3.14
58,5213.67,0.00168223,2.31654,3.14
59,8316.61,0.00194727,2.35496,3.14
60,6731.18,0.00312094,2.39372,3.14
61,6576.22,0.00232245,2.43335,3.14
62,4928.08,0.00189109,2.47371,3.14
63,9687.24,0.00355788,2.5147,3.14
64,4570.3,0.00150564,2.55663,3.14
65,9419.02,0.00223748,2.59928,3.14
66,4484.14,0.00124828,2.64262,3.14
67,4609.82,0.00198102,2.6866,3.14
68,6793.73,0.00163348,2.73126,3.14
69,7069.62,0.00289903,2.77669,3.14
70,6566.81,0.00240264,2.82303,3.14
71,8039.69,0.00220026,2.86998,3.14
72,6691.97,0.00143969,2.91783,3.14
73,5008.56,0.00184467,2.96651,3.14
74,9119.42,0.00200731,3.01589,3.14
75,6135.17,0.00164221,3.06644,3.14
76,10440,0.00326788,3.1176,3.14
77,10347,0.00256169,3.16962,3.14
78,6195.08,0.00257335,3.22254,3.14
79,8341.88,0.00130878,3.27616,3.14
80,7185.41,0.00227442,3.33081,3.14
81,11003.9,0.00159895,3.38637,3.14
82,6130.74,0.00229421,3.44272,3.14
83,11653.3,0.00236032,3.50015,3.14
84,5938.41,0.00129319,3.55853,3.14
85,8153.74,0.00234004,3.61794,3.14
86,7694.14,0.0029625,3.67858,3.14
87,9545.62,0.00212013,3.73994,3.14
88,10453.3,0.00203681,3.80231,3.14
89,13172.8,0.00250959,3.86589,3.14
90,10017.8,0.00241726,3.93054,3.14
91,7906.1,0.00182977,3.99611,3.14
92,10489.8,0.00359385,4.06287,3.14
93,9594.46,0.00265104,4.13079,3.14
94,8687.38,0.00174777,4.19988,3.14
95,10644.2,0.00387546,4.2702,3.14
