step,energy,beta,lambda,delta
0,9097.05,0.00217292,1,3.14
1,7106.68,0.00210537,0.98311,3.14
2,8466.78,0.00194889,0.986326,3.14
3,7288.12,0.00259313,0.993417,3.14
4,7482.19,0.00183929,1.00384,3.14
5,8972.93,0.00236719,1.01482,3.14
6,7965.24,0.00263422,1.0271,3.14
7,9362.75,0.00216788,1.03998,3.14
8,8541.81,0.00179587,1.05415,3.14
9,11886.8,0.0032387,1.06861,3.14
10,10934.4,0.00300155,1.0836,3.14
11,6205.94,0.00209022,1.09974,3.14
12,10872.8,0.00204055,1.11591,3.14
13,10289.9,0.00231963,1.13243,3.14
14,12093.1,0.00223681,1.14958,3.14
15,9879.9,0.00169928,1.16724,3.14
16,10663.4,0.0045861,1.18493,3.14
17,7394.4,0.0016722,1.20302,3.14
18,10462.7,0.00270422,1.22152,3.14
19,9140.9,0.00181544,1.24069,3.14
20,6617.33,0.00192896,1.26021,3.14
21,6196.15,0.00175814,1.28004,3.14
22,6547.36,0.00251632,1.30032,3.14
23,7819.5,0.00231416,1.32075,3.14
24,4149.33,0.00157647,1.34204,3.14
25,9004.88,0.00263411,1.36337,3.14
26,10816.9,0.00394871,1.38539,3.14
27,4562.37,0.00189787,1.40728,3.14
28,9236.76,0.00248344,1.43018,3.14
29,11288.7,0.00287578,1.4532,3.14
30,9813.78,0.00233237,1.47679,3.14
31,6658.51,0.0016909,1.50098,3.14
32,10453.8,0.00208372,1.52521,3.14
33,5070.49,0.00241023,1.54991,3.14
34,5463.62,0.00237466,1.57526,3.14
35,4537.14,0.00121859,1.60065,3.14
36,6196.23,0.00270779,1.62652,3.14
37,9167.86,0.00282617,1.65301,3.14
38,9495.14,0.00312431,1.67993,3.14
39,5165.64,0.00149771,1.70776,3.14
40,6237.12,0.00286818,1.73574,3.14
41,10168.8,0.00243858,1.76397,3.14
42,8816.49,0.00268605,1.79295,3.14
43,8044.48,0.0042006,1.82228,3.14
44,3994.74,0.00130784,1.85234,3.14
45,6241.16,0.00202943,1.8829,3.14
46,5405.23,0.00188491,1.91406,3.14
47,8139.6,0.00280185,1.94571,3.14
48,9268.02,0.00245897,1.97778,3.14
49,3170.15,0.00254911,2.01039,3.14
50,11157.6,0.00221966,2.04397,3.14
51,7702.24,0.00186069,2.07803,3.14
52,6432.96,0.00262519,2.11229,3.14
53,6061.34,0.00183537,2.14726,3.14
54,6824.33,0.00297517,2.1826,3.14
55,7043.58,0.00167716,2.21862,3.14
56,5928.81,0.00196548,2.25525,3.14
57,9836.41,0.00277745,2.29296,3.14
58,6857.49,0.00188138,2.331,3.14
59,8091.44,0.00648064,2.36946,3.14
60,10013.4,0.00401413,2.40872,3.14
61,7510.14,0.00183643,2.44895,3.14
62,6285.21,0.0014063,2.48963,3.14
63,8916.86,0.00251379,2.531,3.14
64,8158.51,0.00334042,2.57313,3.14
65,7062.9,0.00161127,2.61601,3.14
66,4615.09,0.00152385,2.65955,3.14
67,9547.98,0.00253954,2.70354,3.14
68,10246.6,0.00223266,2.74858,3.14
69,12296.3,0.00410953,2.79435,3.14
70,5962.36,0.00305794,2.84088,3.14
71,10181,0.00344216,2.88829,3.14
72,7882.92,0.00220346,2.93669,3.14
73,2755.46,0.00113281,2.98586,3.14
74,4814.87,0.00182058,3.03575,3.14
75,8207.65,0.00275466,3.08634,3.14
76,9047.76,0.00180879,3.13788,3.14
77,8642.81,0.00153431,3.19009,3.14
78,5345.62,0.00258553,3.24314,3.14
79,8835.08,0.00177945,3.29733,3.14
80,6275.57,0.00342697,3.35249,3.14
81,8140.95,0.00159379,3.40863,3.14
82,6051.41,0.00240877,3.46575,3.14
83,9345.07,0.00168457,3.5239,3.14
84,10717.8,0.00397396,3.58324,3.14
85,8358.45,0.0023462,3.64349,3.14
86,10545.8,0.00192315,3.70468,3.14
87,11569.3,0.00228236,3.76702,3.14
88,8389.9,0.00202914,3.83031,3.14
89,7019.99,0.0023199,3.89494,3.14
90,10942.4,0.00292863,3.96039,3.14
91,10742.9,0.00288716,4.02682,3.14
92,9897.76,0.00329281,4.09405,3.14
93,11592.5,0.00244221,4.16276,3.14
94,9818.72,0.00266632,4.23238,3.14
95,12442.5,0.00209162,4.30297,3.14
96,6803.97,0.00459743,4.37479,3.14
97,13271.8,0.00220152,4.44797,3.14
98,8023.41,0.00151047,4.52271,3.14
99,6337.26,0.00203102,4.59876,3.14
100,7026.88,0.00392331,4.67578,3.14
101,11759.2,0.00248832,4.75418,3.14
102,7096.58,0.00356706,4.83378,3.14
103,5417.59,0.00295286,4.91479,3.14
104,12348,0.00312449,4.99728,3.14
105,11571.8,0.00266852,5.08114,3.14
106,13959.2,0.00282037,5.16626,3.14
107,10131.6,0.00253048,5.25296,3.14
108,9389.64,0.00196489,5.3412,3.14
109,8122.41,0.00197974,5.43104,3.14
110,9292.47,0.00159756,5.5222,3.14
111,8920.85,0.00161556,5.6149,3.14
112,8710.45,0.00180856,5.70918,3.14
113,10689.5,0.00165207,5.80496,3.14
114,7420.5,0.00280203,5.90234,3.14
115,10979.7,0.00191049,6.00156,3.14
116,7078.89,0.00162972,6.10255,3.14
117,6825.52,0.00147398,6.20514,3.14
118,10906.2,0.00192407,6.30962,3.14
119,10278.5,0.001887,6.41591,3.14
120,8375.67,0.00376478,6.52382,3.14
121,8075.22,0.00161797,6.63334,3.14
122,7907.08,0.00286635,6.74481,3.14
123,9173.43,0.00201142,6.85807,3.14
124,7815.69,0.00268469,6.97325,3.14
125,10525.9,0.000989823,7.09048,3.14
126,9954.91,0.00565388,7.20943,3.14
127,6640.84,0.00128124,7.33041,3.14
128,11950.1,0.00274299,7.4534,3.14
129,10271.7,0.00238351,7.57833,3.14
130,7379.11,0.00181126,7.70576,3.14
131,10896.9,0.00381308,7.83553,3.14
132,7870.26,0.00221261,7.96715,3.14
133,10451.9,0.00257703,8.10092,3.14
134,12194.2,0.00189601,8.23666,3.14
135,8474.28,0.00319837,8.37506,3.14
136,6890.4,0.00141976,8.51585,3.14
137,7058.97,0.0015313,8.65904,3.14
138,9618.21,0.00269882,8.80469,3.14
139,7804.73,0.00232751,8.95285,3.14
140,8880.57,0.00560255,9.10338,3.14
141,8069.79,0.00228303,9.25658,3.14
142,6198.27,0.00272746,9.41282,3.14
143,6164.37,0.00199068,9.5715,3.14
144,6866.4,0.00132761,9.73299,3.14
145,4308.34,0.00241718,9.89743,3.14
146,4934.99,0.00144102,10.0649,3.14
147,3861.84,0.00173077,10.2351,3.14
148,5136.12,0.00229262,10.4083,3.14
149,6653.78,0.00161216,10.5843,3.14
150,7056.89,0.00175529,10.7632,3.14
151,5250.74,0.00172545,10.9453,3.14
152,1327.45,0.00123928,11.1306,3.14
153,2810.4,0.00313518,11.319,3.14
154,6290.43,0.00366863,11.5103,3.14
155,6366.55,0.00147291,11.7048,3.14
156,5206.1,0.00330945,11.9029,3.14
157,4790.24,0.00234542,12.1044,3.14
158,4616.9,0.00289461,12.3092,3.14
159,5221.91,0.00199049,12.5174,3.14
160,1303.11,0.00349553,12.7293,3.14
161,928.098,0.00175805,12.945,3.14
162,875.713,0.00111073,13.1643,3.14
163,1051.42,0.00140834,13.3873,3.14
164,1004.39,0.0016811,13.6141,3.14
165,5392.09,0.00261483,13.8444,3.14
166,2553.88,0.00216945,14.0787,3.14
167,843.691,0.00153603,14.3174,3.14
168,1274.22,0.00361665,14.5601,3.14
169,1368.36,0.00228296,14.807,3.14
170,2593.67,0.00169896,15.0579,3.14
171,2593.47,0.0012187,15.3129,3.14
172,1301.03,0.00150848,15.5727,3.14
173,1707.97,0.00247548,15.8368,3.14
174,1122.28,0.00311948,16.1056,3.14
175,1398.77,0.00203294,16.3789,3.14
176,2531.8,0.00228938,16.6564,3.14
177,1107.68,0.00176565,16.9389,3.14
178,617.262,0.00126015,17.2265,3.14
179,421.653,0.00131296,17.5189,3.14
180,2540.77,0.00278116,17.8161,3.14
181,1566.47,0.00210339,18.1186,3.14
182,788.245,0.00202468,18.4263,3.14
183,232.299,0.00153093,18.7392,3.14
184,423.006,0.00142889,19.0573,3.14
185,729.725,0.00193464,19.3812,3.14
186,403.422,0.00122205,19.7105,3.14
187,2224.01,0.00220944,20.0454,3.14
188,1497.3,0.00173736,20.3862,3.14
189,406.654,0.00127356,20.7327,3.14
190,535.604,0.00203584,21.0849,3.14
191,419.035,0.00206864,21.4433,3.14
192,547.527,0.00363855,21.8077,3.14
193,423.037,0.00185081,22.1783,3.14
194,162.312,0.00110005,22.5553,3.14
195,728.488,0.00190784,22.9388,3.14
196,601.896,0.00276276,23.3286,3.14
197,535.941,0.0014464,23.7253,3.14
198,1910.43,0.00629329,24.1282,3.14
199,542.07,0.00200535,24.5385,3.14
200,298.897,0.00135208,24.9558,3.14
201,153.485,0.00151604,25.3803,3.14
202,431.828,0.00261955,25.8122,3.14
203,854.302,0.00371925,26.2514,3.14
204,918.401,0.00240207,26.698,3.14
205,720.786,0.0022634,27.1524,3.14
206,238.806,0.00173814,27.6145,3.14
207,933.969,0.00582403,28.0843,3.14
208,389.854,0.00266105,28.5621,3.14
209,384.572,0.00201045,29.0483,3.14
210,491.841,0.00245342,29.5428,3.14
211,643.238,0.00318246,30.0455,3.14
212,685.997,0.00318128,30.557,3.14
213,640.979,0.00279282,31.0771,3.14
214,332.327,0.0021475,31.6064,3.14
215,386.376,0.00350689,32.1446,3.14
216,283.638,0.00260708,32.692,3.14
217,335.263,0.00247203,33.2488,3.14
218,392.991,0.00266967,33.815,3.14
219,205.811,0.00252211,34.3912,3.14
220,360.376,0.00215524,34.9769,3.14
221,94.4854,0.00224932,35.5729,3.14
222,174.833,0.00155184,36.179,3.14
223,204.188,0.00178935,36.7956,3.14
224,532.558,0.0043633,37.4224,3.14
225,232.792,0.0023673,38.06,3.14
226,114.963,0.00161033,38.7087,3.14
227,220.261,0.00617095,39.3684,3.14
228,414.798,0.00355274,40.0392,3.14
229,237.753,0.00378107,40.7219,3.14
230,267.026,0.00288033,41.4161,3.14
231,312.683,0.00256431,42.122,3.14
232,267.268,0.00226442,42.8402,3.14
233,251.062,0.00338271,43.5706,3.14
234,182.607,0.00256785,44.3137,3.14
235,398.028,0.00372893,45.0691,3.14
236,332.088,0.00294978,45.8373,3.14
237,164.563,0.00319731,46.6192,3.14
238,157.324,0.00293146,47.4141,3.14
239,233.461,0.00219641,48.2227,3.14
240,203.326,0.00253528,49.0453,3.14
241,170.079,0.00220311,49.882,3.14
242,146.167,0.00209563,50.7331,3.14
243,359.45,0.00661857,51.5989,3.14
244,199.057,0.00448459,52.4795,3.14
245,525.574,0.00515894,53.3751,3.14
246,427.254,0.00340427,54.2861,3.14
247,405.563,0.00491091,55.2124,3.14
