step,energy,beta,lambda,delta
0,1545.35,0.00234542,1,3.14
1,1416.11,0.00301811,0.76754,3.14
2,2736,0.00571392,0.663786,3.14
3,4142.17,0.00197147,0.723104,3.14
4,4768.02,0.00322575,0.757333,3.14
5,1796.43,0.00182087,0.808606,3.14
6,3412.56,0.00183372,0.907768,3.14
7,1705.38,0.00139124,1.03724,3.14
8,550.738,0.00151044,1.1957,3.14
9,2970.57,0.00210956,1.38298,3.14
10,1267.11,0.00578273,1.62452,3.14
11,671.193,0.00364733,1.91546,3.14
12,390.699,0.00251343,2.26952,3.14
13,1576.8,0.00180199,2.71177,3.14
14,588.749,0.00213489,3.24882,3.14
15,322.842,0.00161067,3.91983,3.14
16,325.912,0.00299268,4.72906,3.14
17,33.5693,0.00192233,5.72768,3.14
18,58.6501,0.00220019,6.96314,3.14
19,206.047,0.00350057,8.49748,3.14
20,83.5518,0.00170714,10.3765,3.14
21,9.96411,0.0026495,12.6865,3.14
22,35.7385,0.00232142,15.5448,3.14
23,54.2075,0.00334827,19.0962,3.14
24,25.948,0.00576011,23.4495,3.14
25,139.244,0.0169367,28.8465,3.14
26,28.1924,0.00556469,35.575,3.14
27,13.5176,0.0168939,43.8999,3.14
28,91.8076,0.0151195,54.3024,3.14
29,20.5452,0.00778222,67.1593,3.14
30,7.81763,0.0120619,83.1824,3.14
31,4.60645,0.0250337,103.12,3.14
32,6.39136,0.0273031,127.963,3.14
33,1.22974,0.0159145,158.984,3.14
34,3.10889,0.0556318,197.747,3.14
35,6.68066,0.0758936,246.072,3.14
36,0.111816,0.0424365,306.558,3.14
37,4.19409,0.0986001,382.181,3.14
38,1.37817,0.0721922,476.951,3.14
39,4.60376,0.0889971,595.519,3.14
40,0.602051,0.123106,744.227,3.14
41,2.74023,0.173123,930.922,3.14
42,0.502197,0.179595,1165.02,3.14
43,1.44458,0.436642,1458.92,3.14
44,0.680664,2.08732,1828.35,3.14
45,0.131836,0.980965,2292.6,3.14
46,0.47876,1.06508,2876.36,3.14
47,0.195801,0.855003,3610.98,3.14
48,0.0917969,1.70859,4536.1,3.14
49,0.0756836,1.90222,5701.41,3.14
50,0.0488281,3.10786,7169.97,3.14
51,0.0490723,5.16579,9021.74,3.14
52,0.0109863,2.55535,11357.5,3.14
53,0.0146484,6.52174,14305.3,3.14
54,0.0109863,21.8665,18026.9,3.14
55,0.000976562,90.9991,22727.5,3.14
