step,energy,beta,lambda,delta
0,5372.22,0.00495783,1,3.14
1,3930.65,0.00134138,0.76754,3.14
2,1167.17,0.00214744,0.613336,3.14
3,572.941,0.00230282,0.514341,3.14
4,1352.02,0.00219195,0.431637,3.14
5,1915.15,0.00219509,0.46795,3.14
6,2657.25,0.00442605,0.51555,3.14
7,2394.65,0.00180306,0.614202,3.14
8,2157.4,0.00244517,0.700265,3.14
9,2922.83,0.00238961,0.818929,3.14
10,1077.47,0.00273024,0.958753,3.14
11,1972.15,0.0019325,1.11306,3.14
12,2124.78,0.00522519,1.31047,3.14
13,1408.08,0.00232772,1.54419,3.14
14,2644.56,0.00188693,1.84014,3.14
15,3563.69,0.00290575,2.19381,3.14
16,1701.69,0.00252135,2.66322,3.14
17,330.774,0.00158532,3.28329,3.14
18,112.739,0.00142959,4.0716,3.14
19,33.4673,0.00158516,5.03736,3.14
20,107.056,0.00230032,6.23842,3.14
21,25.5332,0.00234182,7.74806,3.14
22,154.998,0.00142711,9.66007,3.14
23,499.247,0.00415912,12.0252,3.14
24,28.2261,0.00203007,14.9866,3.14
25,34.2539,0.00414328,18.6684,3.14
26,55.7922,0.00227289,23.3117,3.14
27,116.854,0.00556714,29.057,3.14
28,6.05591,0.00876946,36.3476,3.14
29,8.86084,0.00530199,45.481,3.14
30,2.29541,0.0083765,56.9922,3.14
31,17.8535,0.00594982,71.571,3.14
32,19.2534,0.140143,89.8263,3.14
33,6.4812,0.0285719,112.883,3.14
34,10.6826,0.0185765,141.812,3.14
35,2.82373,0.0169363,178.454,3.14
36,5.29785,0.172813,224.593,3.14
37,2.90161,0.0462689,282.946,3.14
38,1.29639,0.0862625,356.614,3.14
39,1.92871,0.0897656,449.763,3.14
40,2.41943,0.267845,567.818,3.14
41,0.639648,0.105815,717.185,3.14
42,0.0695801,0.224926,906.191,3.14
43,0.682861,0.209162,1145.82,3.14
44,0.163574,0.502891,1449.38,3.14
45,0.116211,0.467344,1834.16,3.14
46,0.503662,0.264072,2322.12,3.14
47,0.521729,0.716821,2941.64,3.14
48,0.389893,1.39476,3728.09,3.14
49,0.100098,1.47192,4725.64,3.14
50,0.0410156,1.33288,5992.78,3.14
51,0.0693359,1.24295,7602.7,3.14
52,0.0429688,14.1949,9649.01,3.14
53,0.0107422,4.70256,12251.2,3.14
54,0.00366211,63.7512,15561.1,3.14
