step,energy,beta,lambda,delta
0,5013.91,0.0026067,1,3.14
1,3014.84,0.00314239,0.76754,3.14
2,4756.03,0.00231466,0.619568,3.14
3,3432.92,0.00709737,0.553444,3.14
4,2610.36,0.00126666,0.527682,3.14
5,2318.41,0.00160442,0.523402,3.14
6,4456.19,0.00313907,0.538908,3.14
7,2225.25,0.00142554,0.568737,3.14
8,2841.04,0.00253141,0.615585,3.14
9,2753.94,0.00233955,0.681158,3.14
10,1402.92,0.00239622,0.768016,3.14
11,5571.2,0.00225227,0.887312,3.14
12,4414.65,0.00250494,1.03287,3.14
13,3971.35,0.0028855,1.20857,3.14
14,3620.14,0.0023483,1.42213,3.14
15,3392.53,0.00154841,1.68326,3.14
16,625.803,0.00174407,2.00359,3.14
17,3820.19,0.00487543,2.39646,3.14
18,560.75,0.00128575,2.87899,3.14
19,308.767,0.00226787,3.46994,3.14
20,880.977,0.00214574,4.19628,3.14
21,190.703,0.00203571,5.08414,3.14
22,179.553,0.00189292,6.17217,3.14
23,133.402,0.00211325,7.5137,3.14
24,1115.57,0.00326099,9.16007,3.14
25,94.7739,0.00314511,11.1931,3.14
26,72.502,0.00217807,13.6962,3.14
27,46.4646,0.00315988,16.7892,3.14
28,13.9893,0.00746545,20.6017,3.14
29,105.12,0.00390154,25.3142,3.14
30,5.3772,0.00798222,31.153,3.14
31,73.259,0.00462332,38.3719,3.14
32,29.2507,0.0160729,47.3281,3.14
33,3.05151,0.0133913,58.4409,3.14
34,4.20337,0.0387927,72.2405,3.14
35,0.930176,0.0159604,89.3958,3.14
36,11.9883,0.013801,110.752,3.14
37,4.27612,0.0203321,137.325,3.14
38,3.18994,0.044635,170.425,3.14
39,15.9419,0.0913087,211.707,3.14
40,5.37671,0.189708,263.196,3.14
41,0.690186,0.0524305,327.444,3.14
42,1.93896,0.137901,407.692,3.14
43,0.628418,0.140384,507.983,3.14
44,1.23804,0.0820502,633.435,3.14
45,0.0332031,0.335375,790.42,3.14
46,0.834473,0.247747,986.995,3.14
47,0.966309,0.305989,1233.27,3.14
48,0.0258789,0.732905,1542.02,3.14
49,0.203369,0.349955,1929.3,3.14
50,0.639404,0.334581,2415.41,3.14
51,1.10693,0.667903,3025.71,3.14
52,1.17651,0.859621,3792.43,3.14
53,0.457275,1.24185,4756.15,3.14
54,0.0141602,1.56909,5968.02,3.14
55,0.0146484,1.92424,7492.68,3.14
56,0.0241699,6.18598,9411.78,3.14
57,0.00732422,9.7825,11828.5,3.14
