step,energy,beta,lambda,delta
0,6217.85,0.00205084,1,3.14
1,7038.76,0.00231559,0.98311,3.14
2,7162.44,0.00280589,0.995046,3.14
3,10184.8,0.00394184,1.00123,3.14
4,10260.1,0.00186361,1.01271,3.14
5,9556.13,0.00279009,1.02359,3.14
6,8924.11,0.00405359,1.03707,3.14
7,5217.85,0.00219166,1.05082,3.14
8,6650.37,0.00198729,1.06425,3.14
9,11222.1,0.00307518,1.0789,3.14
10,8056.56,0.00228842,1.09408,3.14
11,10955.6,0.00376546,1.10967,3.14
12,7863.17,0.00345458,1.12601,3.14
13,9878.16,0.00356675,1.14274,3.14
14,9052.72,0.00159117,1.15954,3.14
15,10289.5,0.0034689,1.17699,3.14
16,14606.6,0.0017053,1.19466,3.14
17,8904.8,0.00313358,1.21335,3.14
18,8812.96,0.00220969,1.23187,3.14
19,8810.21,0.00202398,1.25084,3.14
20,5889.57,0.00130879,1.2706,3.14
21,9860.17,0.00284464,1.29051,3.14
22,8272.45,0.00232766,1.31084,3.14
23,4385.34,0.00221377,1.33177,3.14
24,4397.38,0.00178971,1.35267,3.14
25,6202.89,0.00178493,1.3742,3.14
26,7032.25,0.00215282,1.39601,3.14
27,5638.63,0.00200948,1.41829,3.14
28,9909.66,0.00300382,1.44081,3.14
29,6628.48,0.00245834,1.46382,3.14
30,7850.73,0.00183644,1.48771,3.14
31,5977.43,0.00179817,1.51166,3.14
32,6925.03,0.00163182,1.53582,3.14
33,12832.6,0.00440023,1.56051,3.14
34,9930.52,0.00224324,1.58573,3.14
35,5740.64,0.00188594,1.61146,3.14
36,4870.85,0.00167461,1.63751,3.14
37,3850.65,0.00212806,1.66425,3.14
38,4515.15,0.00165962,1.6914,3.14
39,11706.2,0.00176832,1.7192,3.14
40,5024.36,0.00212125,1.7472,3.14
41,9868.75,0.00292969,1.77562,3.14
42,11894.4,0.00389973,1.80468,3.14
43,3856.86,0.00129451,1.8343,3.14
44,8458.52,0.00196457,1.86451,3.14
45,8446.9,0.00308225,1.89519,3.14
46,9455.78,0.0019463,1.92632,3.14
47,9145.62,0.00257455,1.95835,3.14
48,3266.7,0.00122049,1.99059,3.14
49,8192.13,0.00201897,2.02349,3.14
50,6911.95,0.00151281,2.05698,3.14
51,10297,0.00289319,2.09107,3.14
52,10387.8,0.0033774,2.1254,3.14
53,7848.28,0.0018946,2.16047,3.14
54,11777.5,0.00423587,2.19627,3.14
55,8312.57,0.00332137,2.23252,3.14
56,7817.6,0.00265692,2.26948,3.14
57,10594.7,0.00390403,2.30723,3.14
58,8401.68,0.00347047,2.3453,3.14
59,5816.65,0.00192694,2.38403,3.14
60,5983.14,0.00147491,2.42353,3.14
61,12260.7,0.00166489,2.4637,3.14
62,5849.76,0.00221232,2.50463,3.14
63,6433.29,0.00243404,2.54634,3.14
64,3096.59,0.00192057,2.5888,3.14
65,6382.75,0.00237051,2.63207,3.14
66,12205.8,0.00289641,2.67583,3.14
67,5709.67,0.00387945,2.72036,3.14
68,7012.52,0.00151826,2.76574,3.14
69,8888.38,0.00346528,2.8118,3.14
70,5831.45,0.00234039,2.85877,3.14
71,8102.84,0.00337538,2.90642,3.14
72,6426.33,0.002491,2.95486,3.14
73,11121.6,0.00184614,3.00414,3.14
