step,energy,beta,lambda,delta
0,4178.74,0.00294521,1,3.14
1,2994.76,0.00154059,0.76754,3.14
2,3692.72,0.00201656,0.774881,3.14
3,4988.44,0.0033856,0.832627,3.14
4,4444.47,0.00300679,0.84099,3.14
5,4562.91,0.00305583,0.90515,3.14
6,4978.82,0.00250147,1.0032,3.14
7,1829.65,0.00240872,1.10142,3.14
8,4482.56,0.0060823,1.22296,3.14
9,2810.56,0.00204728,1.37732,3.14
10,5381.8,0.00200731,1.57994,3.14
11,2309.51,0.00293701,1.82801,3.14
12,2639.82,0.00355813,2.11791,3.14
13,4595.11,0.00329681,2.51965,3.14
14,305.037,0.00175677,3.06273,3.14
15,163.141,0.0018368,3.7612,3.14
16,27.2683,0.0022475,4.61404,3.14
17,258.876,0.00252155,5.67185,3.14
18,274.091,0.00174625,6.99864,3.14
19,235.917,0.00305953,8.65129,3.14
20,92.23,0.00173669,10.6976,3.14
21,68.6907,0.00284169,13.2334,3.14
22,33.8352,0.00285137,16.3977,3.14
23,6.10156,0.00321364,20.3603,3.14
24,16.0615,0.00364411,25.3401,3.14
25,109.057,0.00412403,31.5548,3.14
26,9.52051,0.00632602,39.3123,3.14
27,15.7678,0.00804042,49.0118,3.14
28,16.9775,0.0143289,61.2674,3.14
29,17.3799,0.0138826,76.5741,3.14
30,5.97705,0.0186075,95.7998,3.14
31,22.0244,0.024176,119.897,3.14
32,3.71191,0.0467433,150.299,3.14
33,3.08936,0.0368495,188.55,3.14
34,0.500732,0.0635974,236.697,3.14
35,0.37793,0.051951,297.373,3.14
36,0.934082,0.0453269,373.822,3.14
37,1.21582,0.0815597,470.202,3.14
38,0.133545,0.0894209,591.886,3.14
39,0.964355,0.102993,745.562,3.14
40,1.30225,0.105445,939.816,3.14
41,0.518555,0.151794,1185.19,3.14
42,0.0942383,0.260746,1495.28,3.14
43,0.396484,0.340026,1887.5,3.14
44,0.323486,0.504165,2383.8,3.14
45,0.546875,0.374311,3012.56,3.14
46,0.210693,1.13288,3808.98,3.14
47,0.0393066,1.33753,4818.05,3.14
48,0.00390625,2.61976,6097.15,3.14
