step,energy,beta,lambda,delta
0,2.64085,2.04614,1,0.9
1,2.03431,2.21142,1,0.9
2,1.42484,5.24395,1,0.9
3,0.54159,2.26393,1,0.9
4,0.244156,1.62341,1,0.9
5,0.980661,2.67301,1,0.9
6,1.09174,10.1219,1,0.9
7,0.20179,1.73785,1,0.9
8,0.311193,1.95315,1,0.9
9,1.04744,3.51322,1,0.9
10,0.506136,2.87153,1,0.9
11,1.45611,38.7677,2.27921,0.9
12,0.491709,6.75579,2.27921,0.9
13,0.717207,6.75913,2.27921,0.9
14,0.956322,3.59627,2.27921,0.9
15,0.693544,10.5828,2.27921,0.9
16,0.522724,47.2481,2.27921,0.9
17,0.258064,2.71586,2.27921,0.9
18,1.00449,5.43783,2.27921,0.9
19,0.19943,9.98292,2.27921,0.9
20,0.220371,2.43066,2.27921,0.9
21,0.636328,5.77466,5.19482,0.9
22,0.203167,8.63352,5.19482,0.9
23,0.186615,7.563,5.19482,0.9
24,0.214613,47.8894,5.19482,0.9
25,0.084116,4.5352,5.19482,0.9
26,0.174921,5.70641,5.19482,0.9
27,0.318045,9.46318,5.19482,0.9
28,0.566811,5.74309,5.19482,0.9
29,0.52919,5.55932,5.19482,0.9
30,0.0859566,3.96854,5.19482,0.9
31,0.415976,9.74643,11.8401,0.9
32,0.314713,9.69502,11.8401,0.9
33,0.154724,13.1956,11.8401,0.9
34,0.591459,30.4315,11.8401,0.9
35,0.280359,6.05224,11.8401,0.9
36,0.204033,35.4466,11.8401,0.9
37,0.188499,42.7906,11.8401,0.9
38,0.0321827,8.51535,11.8401,0.9
39,0.174778,18.5364,11.8401,0.9
40,0.135376,6.80365,11.8401,0.9
41,0.311779,71.3676,11.8401,0.9
42,0.183167,13.912,11.8401,0.9
43,0.177433,5.98144,11.8401,0.9
44,0.143507,13.5599,11.8401,0.9
45,0.157778,13.0274,11.8401,0.9
46,0.187952,192.382,26.9861,0.9
47,0.148148,78.6188,26.9861,0.9
48,0.0690823,41.5592,26.9861,0.9
49,0.253164,114.087,26.9861,0.9
50,0.0936928,85.8586,26.9861,0.9
51,0.127563,31.0382,26.9861,0.9
52,0.114151,111.956,26.9861,0.9
53,0.117464,36.4711,26.9861,0.9
54,0.104473,31.7257,26.9861,0.9
55,0.141747,310.739,26.9861,0.9
56,0.139128,25.829,26.9861,0.9
57,0.0779324,7.96391,26.9861,0.9
58,0.0177269,14.51,26.9861,0.9
59,0.214485,207.616,61.5071,0.9
60,0.0436649,59.1135,61.5071,0.9
61,0.071991,30.5838,61.5071,0.9
62,0.0994415,500.897,61.5071,0.9
63,0.116182,90.4691,61.5071,0.9
64,0.0835857,31.5743,61.5071,0.9
65,0.0878181,58.1067,61.5071,0.9
66,0.135698,27.0091,140.188,0.9
67,0.0612602,30.713,140.188,0.9
68,0.0418892,178.389,140.188,0.9
69,0.0263748,94.4092,140.188,0.9
70,0.0437222,1233.99,140.188,0.9
71,0.0229397,53.5005,140.188,0.9
72,0.0253506,40.6246,140.188,0.9
73,0.0288086,54.2729,140.188,0.9
74,0.02495,152.603,140.188,0.9
75,0.0294056,160.214,140.188,0.9
76,0.0508709,87.0568,319.518,0.9
77,0.0332241,867.324,319.518,0.9
78,0.0120754,82.9759,319.518,0.9
79,0.0581894,114.286,319.518,0.9
80,0.0186272,68.2681,319.518,0.9
81,0.0191822,1854.13,319.518,0.9
82,0.0116234,146.224,319.518,0.9
83,0.0190296,80.2489,319.518,0.9
84,0.010334,315.733,319.518,0.9
85,0.0362568,106.193,319.518,0.9
86,0.0228386,76.3949,319.518,0.9
87,0.0264339,337.668,728.25,0.9
88,0.0229111,92.3969,728.25,0.9
89,0.0214558,139.863,728.25,0.9
90,0.0241985,676.005,728.25,0.9
91,0.0170918,184.371,728.25,0.9
92,0.0125923,279.811,728.25,0.9
93,0.0135956,2738.39,728.25,0.9
94,0.0167828,168.492,728.25,0.9
95,0.0121994,197.521,728.25,0.9
96,0.00979805,168.395,728.25,0.9
