step,energy,beta,lambda,delta
0,2.73326,1.69771,1,0.9
1,2.83654,5.58844,1,0.9
2,1.1387,1.65161,1,0.9
3,1.09999,3.70492,1,0.9
4,0.47043,34.313,1,0.9
5,0.387995,4.46937,1,0.9
6,0.987123,3.55937,1,0.9
7,0.746212,3.3772,1,0.9
8,1.1727,3.06862,1,0.9
9,1.34704,8.51326,1,0.9
10,0.539389,3.33394,1,0.9
11,0.306776,1.69328,1,0.9
12,1.63562,153.694,2.27921,0.9
13,0.775705,3.14969,2.27921,0.9
14,0.944424,12.8426,2.27921,0.9
15,1.47449,35.7518,2.27921,0.9
16,0.717976,4.47577,2.27921,0.9
17,0.604033,5.4106,2.27921,0.9
18,0.136326,4.68054,2.27921,0.9
19,0.736603,24.8787,2.27921,0.9
20,0.882904,6.70834,2.27921,0.9
21,0.206385,8.46461,2.27921,0.9
22,0.091711,2.27234,2.27921,0.9
23,0.554924,5.13022,5.19482,0.9
24,0.488113,12.5073,5.19482,0.9
25,0.345985,5.94128,5.19482,0.9
26,0.547541,33.6774,5.19482,0.9
27,0.308489,4.72212,5.19482,0.9
28,0.588413,14.7629,5.19482,0.9
29,0.177322,7.76044,5.19482,0.9
30,0.131956,5.40778,5.19482,0.9
31,0.39547,15.2671,5.19482,0.9
32,0.168196,3.05399,5.19482,0.9
33,0.179388,10.5778,5.19482,0.9
34,0.14456,3.12857,5.19482,0.9
35,0.797358,16.1921,11.8401,0.9
36,0.17449,6.0588,11.8401,0.9
37,0.437258,6.74909,11.8401,0.9
38,0.281498,13.3982,11.8401,0.9
39,0.160807,9.46389,11.8401,0.9
40,0.158949,32.4309,11.8401,0.9
41,0.337868,19.5409,11.8401,0.9
42,0.142767,9.50298,11.8401,0.9
43,0.107622,8.04747,11.8401,0.9
44,0.291624,47.9295,11.8401,0.9
45,0.202692,7.8734,11.8401,0.9
46,0.161863,6.37419,11.8401,0.9
47,0.484175,8.31469,11.8401,0.9
48,0.429728,4.698,11.8401,0.9
49,0.071228,7.69462,11.8401,0.9
50,0.161356,13.6008,26.9861,0.9
51,0.144388,23.3598,26.9861,0.9
52,0.213573,976.905,26.9861,0.9
53,0.183538,25.1179,26.9861,0.9
54,0.0391865,15.3836,26.9861,0.9
55,0.03578,22.7632,26.9861,0.9
56,0.0375557,18.1394,26.9861,0.9
57,0.14785,11.5254,26.9861,0.9
58,0.144135,10.7529,26.9861,0.9
59,0.177095,20.0752,26.9861,0.9
60,0.0955219,14.4703,26.9861,0.9
61,0.0836506,21.4752,26.9861,0.9
62,0.151028,287.681,61.5071,0.9
63,0.0921078,68.0716,61.5071,0.9
64,0.0910931,42.4118,61.5071,0.9
65,0.057785,173.048,61.5071,0.9
66,0.0147705,28.7959,61.5071,0.9
67,0.142038,491.383,61.5071,0.9
68,0.0520515,109.009,61.5071,0.9
69,0.0738735,23.8227,61.5071,0.9
70,0.0632877,89.1802,61.5071,0.9
71,0.0146999,63.8284,61.5071,0.9
72,0.0673122,524.778,61.5071,0.9
73,0.103374,34.3266,61.5071,0.9
74,0.0913525,162.602,61.5071,0.9
75,0.0323734,109.983,61.5071,0.9
76,0.0667324,103.675,140.188,0.9
77,0.0163822,90.5289,140.188,0.9
78,0.0215416,54.1639,140.188,0.9
79,0.0346928,37.159,140.188,0.9
80,0.0769138,91.2281,140.188,0.9
81,0.0526752,1379.16,140.188,0.9
82,0.047863,104.889,140.188,0.9
83,0.0113735,102.646,140.188,0.9
84,0.0365486,430.328,140.188,0.9
85,0.0676365,69.2706,319.518,0.9
86,0.0274563,90.4886,319.518,0.9
87,0.0173721,114.901,319.518,0.9
88,0.0160217,99.1421,319.518,0.9
89,0.020153,79.8439,319.518,0.9
90,0.00517082,86.5943,319.518,0.9
