step,energy,beta,lambda,delta
0,3.03752,13.2317,1,0.3
1,2.97274,18.4267,1,0.3
2,2.95382,26.7089,1,0.3
3,2.96121,33.0092,1,0.3
4,2.83365,19.678,1,0.3
5,2.89255,765.071,1,0.3
6,2.87505,955.082,1,0.3
7,2.69668,16.4934,1,0.3
8,2.71652,39.477,1,0.3
9,2.82677,35.3429,1,0.3
10,2.85475,72.6807,1.06908,0.3
11,2.8206,34.0094,1.06908,0.3
12,2.83165,22.4881,1.06908,0.3
13,2.75563,24.1721,1.06908,0.3
14,2.83117,22.1537,1.06908,0.3
15,2.86195,45.677,1.06908,0.3
16,2.86102,49.8636,1.06908,0.3
17,2.84001,93.7556,1.06908,0.3
18,2.84016,63.9275,1.06908,0.3
19,2.73635,46.8376,1.06908,0.3
20,2.80066,89.7146,1.14293,0.3
21,2.84208,44.4165,1.14293,0.3
22,2.77777,35.8165,1.14293,0.3
23,2.74401,14.9035,1.14293,0.3
24,2.62008,13.1775,1.14293,0.3
25,2.53296,15.2388,1.14293,0.3
26,2.5306,21.1941,1.14293,0.3
27,2.5525,24.4568,1.14293,0.3
28,2.58502,27.4531,1.14293,0.3
29,2.58677,53.2909,1.14293,0.3
30,2.50572,24.873,1.14293,0.3
31,2.55724,17.4141,1.22188,0.3
32,2.44205,318.64,1.22188,0.3
33,2.55593,73.1238,1.22188,0.3
34,2.61192,39.3529,1.22188,0.3
35,2.4678,16.1209,1.22188,0.3
36,2.37201,15.658,1.22188,0.3
37,2.34799,12.9544,1.22188,0.3
38,2.39662,14.6647,1.22188,0.3
39,2.41929,19.2106,1.22188,0.3
40,2.51587,64.8598,1.30628,0.3
41,2.29509,10.7151,1.30628,0.3
42,2.34935,26.1785,1.30628,0.3
43,2.36565,40.0425,1.30628,0.3
44,2.3785,48.7208,1.30628,0.3
45,2.3932,14.9183,1.30628,0.3
46,2.45594,16151.5,1.39652,0.3
47,2.26369,17.8636,1.39652,0.3
48,2.29928,25.8085,1.39652,0.3
49,2.3212,273.342,1.39652,0.3
50,2.52098,223.392,1.39652,0.3
51,2.5786,109.402,1.39652,0.3
52,2.61623,310.34,1.49298,0.3
53,2.51163,23.6061,1.49298,0.3
54,2.40802,31.4954,1.49298,0.3
55,2.38411,23.2038,1.49298,0.3
56,2.40923,33.9144,1.49298,0.3
57,2.42396,27.5421,1.49298,0.3
58,2.44046,133.822,1.49298,0.3
59,2.40395,185.56,1.49298,0.3
60,2.47375,64.129,1.49298,0.3
61,2.50931,72.607,1.59612,0.3
62,2.52195,102.777,1.59612,0.3
63,2.50406,2480.61,1.59612,0.3
64,2.44948,23.8237,1.59612,0.3
65,2.50828,44.1278,1.59612,0.3
66,2.56614,370.826,1.59612,0.3
67,2.62934,104.72,1.59612,0.3
68,2.65098,26.2352,1.70637,0.3
69,2.61661,220.842,1.70637,0.3
70,2.69474,31.4776,1.70637,0.3
71,2.63759,35.4365,1.70637,0.3
72,2.56247,26.2162,1.70637,0.3
73,2.53561,99.9218,1.70637,0.3
74,2.51837,17.7797,1.70637,0.3
75,2.59216,58.0367,1.70637,0.3
76,2.56098,22.298,1.70637,0.3
77,2.52875,15.6767,1.70637,0.3
78,2.57147,29.3025,1.70637,0.3
79,2.49628,417.515,1.70637,0.3
80,2.47122,27.7432,1.70637,0.3
81,2.37439,16.9004,1.70637,0.3
82,2.31879,52.2576,1.70637,0.3
83,2.24635,74.6405,1.70637,0.3
84,2.09265,650.687,1.70637,0.3
85,2.15007,27.6951,1.70637,0.3
86,2.31815,25.051,1.82424,0.3
87,2.36674,85.2236,1.82424,0.3
88,2.34403,18.1977,1.82424,0.3
89,2.35185,32.6648,1.82424,0.3
90,2.26357,11.8806,1.82424,0.3
91,2.28337,42.7134,1.82424,0.3
92,2.33078,24.8376,1.82424,0.3
93,2.38381,89.5799,1.95026,0.3
94,2.22466,27.1643,1.95026,0.3
95,2.28373,50.074,1.95026,0.3
96,2.06883,9.32181,1.95026,0.3
97,2.03475,19.3145,1.95026,0.3
98,2.16329,42.1605,1.95026,0.3
99,2.2338,317.805,1.95026,0.3
100,2.14226,17.7806,1.95026,0.3
101,2.13267,49.705,1.95026,0.3
102,2.11377,22.0806,1.95026,0.3
103,2.14867,27.334,1.95026,0.3
104,2.3241,271.669,2.08498,0.3
105,2.35541,48.9941,2.08498,0.3
106,2.32417,18.6434,2.08498,0.3
107,2.29028,55.8811,2.08498,0.3
108,2.37963,59.887,2.08498,0.3
109,2.37618,43.0061,2.08498,0.3
110,2.34135,60.222,2.08498,0.3
111,2.37948,29.6995,2.08498,0.3
112,2.32471,93.7287,2.08498,0.3
113,2.08021,15.1262,2.08498,0.3
114,2.07794,28.7812,2.08498,0.3
115,2.03236,20.6365,2.08498,0.3
116,2.14052,38253.5,2.08498,0.3
117,2.12239,44.9283,2.08498,0.3
118,2.12203,34.714,2.08498,0.3
119,2.15833,22.4302,2.229,0.3
120,2.12288,26.6978,2.229,0.3
121,2.21721,445.638,2.229,0.3
122,2.18999,28.7477,2.229,0.3
123,2.27855,35.5878,2.229,0.3
124,2.23583,27.3575,2.229,0.3
125,2.23631,33.1939,2.229,0.3
126,2.35401,27.614,2.229,0.3
127,2.31892,38.907,2.229,0.3
128,2.22841,15.2172,2.229,0.3
129,2.22818,22.1445,2.229,0.3
130,2.19609,31.3362,2.229,0.3
131,1.99742,12.6041,2.229,0.3
132,2.06042,132.533,2.38298,0.3
133,2.12619,19.5567,2.38298,0.3
134,2.19177,197.245,2.38298,0.3
135,2.12144,307.194,2.38298,0.3
