step,energy,beta,lambda,delta
0,3.42925,6.59507,1,0.5
1,3.20033,14.4317,0.963829,0.5
2,2.45381,9.21027,0.947045,0.5
3,2.62436,88.5283,0.950769,0.5
4,2.15564,6.4086,0.959949,0.5
5,2.4641,21.9023,0.970718,0.5
6,2.314,6.64867,0.988855,0.5
7,2.50025,24.6915,1.00664,0.5
8,2.3041,7.65476,1.02758,0.5
9,2.27321,63.143,1.05468,0.5
10,2.38047,368.382,1.08336,0.5
11,2.62952,6.47487,1.11215,0.5
12,2.87147,72.135,1.14267,0.5
13,2.49621,11.3734,1.17123,0.5
14,2.16169,4.74222,1.20172,0.5
15,2.64241,59.1197,1.23479,0.5
16,2.03859,3.47141,1.2703,0.5
17,2.37477,9.00611,1.30665,0.5
18,2.25246,6.45899,1.34413,0.5
19,2.50031,335.601,1.38339,0.5
20,2.68565,14.0858,1.42618,0.5
21,2.82596,8.58427,1.47134,0.5
22,2.59345,10.4746,1.51888,0.5
23,2.17751,4.74006,1.56697,0.5
24,1.9753,12.167,1.61743,0.5
25,1.9864,18.5007,1.66974,0.5
26,1.63026,35.4389,1.72444,0.5
27,1.86045,247.554,1.78209,0.5
28,1.732,7.68201,1.84066,0.5
29,1.62258,5.12124,1.90275,0.5
30,1.6459,7.61437,1.96464,0.5
31,1.33055,5.71221,2.02958,0.5
32,1.21547,75.5923,2.09689,0.5
33,0.870285,3.16984,2.16614,0.5
34,1.31635,8.25622,2.23684,0.5
35,1.34468,5.91774,2.31142,0.5
36,1.73842,67.3915,2.38863,0.5
37,0.911457,4.2895,2.46816,0.5
38,1.06952,9.40861,2.54953,0.5
39,1.06951,6.10911,2.63633,0.5
40,1.20075,6.24387,2.72503,0.5
41,1.32467,7.25277,2.81837,0.5
42,1.63106,15.4961,2.9166,0.5
43,1.74554,21.8295,3.01722,0.5
44,1.55648,21.4544,3.11892,0.5
45,1.53073,4.33322,3.224,0.5
46,1.24504,6.50158,3.33196,0.5
47,0.97172,4.16578,3.44531,0.5
48,1.07789,60.985,3.56265,0.5
49,1.5878,22.5385,3.6828,0.5
50,0.740679,5.33493,3.81042,0.5
51,1.06843,20.9979,3.93998,0.5
52,1.05115,108.383,4.076,0.5
53,1.07846,9.97678,4.21732,0.5
54,1.15271,74.325,4.36282,0.5
55,0.773336,48.3705,4.51282,0.5
56,0.936462,128.193,4.66986,0.5
57,0.96701,5.48104,4.83279,0.5
58,0.935566,6.99529,5.00199,0.5
59,0.836401,7.64124,5.17584,0.5
60,0.821507,9.88462,5.35561,0.5
61,0.387281,2.99988,5.5441,0.5
62,0.786491,19.3417,5.73656,0.5
63,0.994267,72.068,5.93572,0.5
64,0.949358,471.819,6.14316,0.5
65,0.825636,11.4995,6.35894,0.5
66,0.851915,37.3054,6.58439,0.5
67,0.866179,8.53976,6.81731,0.5
68,1.19241,10.3462,7.05643,0.5
69,0.72851,60.2307,7.30508,0.5
70,0.890924,185.116,7.56121,0.5
71,0.5863,8.69769,7.82903,0.5
72,0.419378,5.71936,8.10732,0.5
73,0.288929,6.62396,8.39418,0.5
74,0.311283,16.3996,8.6917,0.5
75,0.468225,16.5522,9.00064,0.5
76,0.761858,18.8076,9.32139,0.5
77,0.675701,10.5265,9.65324,0.5
78,0.713205,23.4591,9.99674,0.5
79,0.452204,11.9232,10.353,0.5
80,0.501034,58.4056,10.723,0.5
81,0.450636,11.9052,11.1036,0.5
82,0.476299,49.2785,11.4999,0.5
83,0.370031,26.5283,11.9103,0.5
84,0.550072,22.4235,12.3359,0.5
85,0.660311,48.546,12.7774,0.5
86,0.664381,31.1128,13.2346,0.5
87,0.579306,122.556,13.7089,0.5
88,0.563913,12.8753,14.2011,0.5
89,0.638304,44.2427,14.7096,0.5
