step,energy,beta,lambda,delta
0,4.17138,21.9715,1,0.9
1,2.4491,1.80587,0.902725,0.9
2,0.395039,1.35557,0.842481,0.9
3,1.46933,4.1296,0.804143,0.9
4,1.78187,266.295,0.793866,0.9
5,2.54871,62.917,0.826183,0.9
6,0.802935,1.95516,0.852807,0.9
7,0.0496559,2.0539,0.891752,0.9
8,1.80724,5.3316,0.948422,0.9
9,1.28946,4.19743,1.00658,0.9
10,1.02847,2.54902,1.06046,0.9
11,2.02411,10.3978,1.11722,0.9
12,2.15707,7.93332,1.17873,0.9
13,1.02104,3.19383,1.25216,0.9
14,0.350132,3.84081,1.33904,0.9
15,1.23684,5.16643,1.43211,0.9
16,0.74091,3.39393,1.54283,0.9
17,1.3641,19.8978,1.66295,0.9
18,0.602291,3.04547,1.78513,0.9
19,0.903303,3.89716,1.9156,0.9
20,0.635233,3.55498,2.0718,0.9
21,0.653036,14.1761,2.24249,0.9
22,1.09135,7.31482,2.42926,0.9
23,1.16336,19.8465,2.62741,0.9
24,1.03825,49.4804,2.84907,0.9
25,0.284134,26.5834,3.08795,0.9
26,0.494604,8.17409,3.35498,0.9
27,0.325954,9.81793,3.63998,0.9
28,0.129419,9.38622,3.94884,0.9
29,0.483774,4.46932,4.27713,0.9
30,0.145527,3.93177,4.64711,0.9
31,0.515066,13.8951,5.04543,0.9
32,0.123272,10.0808,5.48154,0.9
33,0.324137,22.0138,5.96443,0.9
34,0.176035,5.89636,6.48304,0.9
35,0.359129,5.54073,7.05495,0.9
36,0.433571,4.26881,7.681,0.9
37,0.165836,6.47044,8.36113,0.9
38,0.168905,7.03712,9.11761,0.9
39,0.113344,16.3697,9.94093,0.9
40,0.098444,15.1257,10.8445,0.9
41,0.186079,11.9242,11.8304,0.9
42,0.095295,18.4039,12.9102,0.9
43,0.126852,7.2802,14.078,0.9
44,0.0939217,530.911,15.3692,0.9
45,0.34046,23.8375,16.7789,0.9
46,0.152363,11.8474,18.3313,0.9
47,0.126598,7.09463,20.0304,0.9
48,0.168636,26.0686,21.8662,0.9
49,0.218325,81.6674,23.8686,0.9
50,0.208715,20.0373,26.0704,0.9
51,0.173517,27.6549,28.4799,0.9
52,0.173182,80.7133,31.1263,0.9
53,0.174339,146.684,34.0133,0.9
54,0.110954,216.315,37.2176,0.9
55,0.0769024,29.7131,40.7235,0.9
56,0.161785,17.1537,44.5735,0.9
57,0.0695133,41.9979,48.7815,0.9
58,0.0305691,14.5711,53.4054,0.9
59,0.123518,30.7245,58.4336,0.9
60,0.0938931,112.764,63.9781,0.9
61,0.0426807,928.247,70.0805,0.9
62,0.0542545,28.4003,76.7754,0.9
63,0.0987339,37.041,84.1042,0.9
64,0.0894184,530.525,92.1696,0.9
65,0.0501976,38.7812,101.025,0.9
66,0.0458374,46.7131,110.746,0.9
67,0.0594616,106.768,121.377,0.9
68,0.0418797,40.7486,133.087,0.9
69,0.0468426,77.5129,145.933,0.9
70,0.0297318,94.8507,160.034,0.9
71,0.0280571,50.6473,175.499,0.9
72,0.0440426,382.041,192.51,0.9
73,0.0475254,63.0307,211.194,0.9
74,0.0134869,65.392,231.705,0.9
75,0.0100861,42.7862,254.252,0.9
76,0.0155811,79.2652,279.033,0.9
77,0.0283413,68.1565,306.223,0.9
78,0.0366745,450.883,336.126,0.9
79,0.0304184,42.4013,369.014,0.9
80,0.0213795,315.694,405.172,0.9
81,0.0361996,200.528,444.956,0.9
82,0.029377,71.4957,488.659,0.9
83,0.0111294,109.963,536.65,0.9
84,0.0106716,107.216,589.425,0.9
85,0.00984001,272.134,647.449,0.9
