step,energy,beta,lambda,delta
0,3.01925,9.99866,1,0.7
1,3.318,39.6644,0.883122,0.7
2,2.61782,8.3381,0.818678,0.7
3,2.4665,57.3428,0.791636,0.7
4,2.19829,8.76161,0.809313,0.7
5,1.67208,15.1575,0.837364,0.7
6,1.6299,12.1691,0.872105,0.7
7,1.71286,16.76,0.924065,0.7
8,1.36239,5.79715,0.981621,0.7
9,1.57671,18.7426,1.06064,0.7
10,1.57728,22.1889,1.1463,0.7
11,0.909893,5.16207,1.24957,0.7
12,0.88336,5.91654,1.36699,0.7
13,1.29419,34.8834,1.50609,0.7
14,1.20969,10.7863,1.66035,0.7
15,1.15567,65.6938,1.82955,0.7
16,0.954197,18.3156,2.01705,0.7
17,0.794388,7.70566,2.24002,0.7
18,0.852821,209.951,2.48375,0.7
19,0.880054,215.715,2.75794,0.7
20,0.742481,15.0806,3.05612,0.7
21,0.980967,57.7389,3.39967,0.7
22,0.720188,14.2421,3.77909,0.7
23,0.49193,14.4694,4.21811,0.7
24,0.497183,52.78,4.7214,0.7
25,0.425987,18.2283,5.27676,0.7
26,0.255348,8.57714,5.91426,0.7
27,0.188387,8.08716,6.63693,0.7
28,0.393255,17.7419,7.42575,0.7
29,0.452055,33.5119,8.30405,0.7
30,0.515102,66.4063,9.29444,0.7
31,0.313271,35.8825,10.4257,0.7
32,0.361948,44.0231,11.6938,0.7
33,0.316399,80.8652,13.1339,0.7
34,0.232082,21.0095,14.7718,0.7
35,0.285315,39.3162,16.6133,0.7
36,0.182774,21.4212,18.7061,0.7
37,0.168806,90.1012,21.0669,0.7
38,0.203831,46.3939,23.7354,0.7
39,0.225325,112.897,26.7144,0.7
40,0.140106,45.4411,30.1373,0.7
41,0.117529,49.7771,34.0068,0.7
42,0.121822,73.7151,38.3375,0.7
43,0.131983,139.902,43.1807,0.7
44,0.183039,38253.6,48.5836,0.7
45,0.128855,3928.74,54.787,0.7
46,0.0997562,84.7862,61.8264,0.7
47,0.0941486,201.159,69.7417,0.7
48,0.0860176,350.994,78.726,0.7
49,0.101528,459.593,88.8178,0.7
50,0.0750961,75.9441,100.255,0.7
51,0.0710125,118.748,113.172,0.7
52,0.0553074,139.721,127.838,0.7
53,0.0594864,129.872,144.465,0.7
54,0.0577774,132.916,163.173,0.7
55,0.0400772,95.4359,184.422,0.7
56,0.0515976,182.142,208.366,0.7
57,0.0483494,1307.23,235.518,0.7
58,0.029398,99.1038,266.279,0.7
59,0.0445385,565.914,300.886,0.7
60,0.0318737,196.064,340.121,0.7
61,0.0436497,1404.96,384.407,0.7
62,0.0351543,326.75,434.693,0.7
63,0.0417442,13029.4,491.407,0.7
64,0.0331593,603.83,555.671,0.7
65,0.0293121,977.027,628.364,0.7
66,0.029953,627.207,710.422,0.7
67,0.0222626,491.232,803.366,0.7
68,0.0182476,288.929,908.669,0.7
69,0.0232792,995.632,1027.65,0.7
70,0.0197906,1466.03,1162.67,0.7
71,0.0194759,1008.33,1315.22,0.7
72,0.0183926,1112.11,1487.92,0.7
73,0.0180454,7341.77,1683.7,0.7
74,0.0127125,948.417,1905.31,0.7
75,0.0150757,1031.55,2155.21,0.7
76,0.0157242,2072.23,2438.28,0.7
77,0.0135689,966.28,2758.55,0.7
78,0.0123138,3526.62,3121.4,0.7
79,0.0115108,2412.9,3532.53,0.7
80,0.0102119,1925.42,3997.87,0.7
81,0.00975227,1558.28,4524.47,0.7
