step,energy,beta,lambda,delta
0,2.83173,36.6437,1,0.5
1,2.63281,53.4276,0.962709,0.5
2,2.50572,140.485,0.95273,0.5
3,2.42404,520.259,0.956664,0.5
4,2.32348,38.3562,0.968593,0.5
5,2.48023,64.6729,0.982107,0.5
6,2.44565,62.5114,1.00031,0.5
7,2.41326,29.9982,1.02266,0.5
8,2.25626,18.7158,1.04505,0.5
9,2.20633,34.6767,1.06877,0.5
10,2.15141,41.1958,1.09403,0.5
11,2.00094,25.3639,1.12174,0.5
12,1.9011,32.0485,1.15157,0.5
13,1.88003,20.3034,1.18377,0.5
14,1.94797,55.6463,1.21669,0.5
15,2.03505,496.463,1.25095,0.5
16,2.0622,74.9581,1.28544,0.5
17,1.99587,101.266,1.32324,0.5
18,2.04674,91.1188,1.36311,0.5
19,2.06264,76.5574,1.40369,0.5
20,1.97589,139.52,1.446,0.5
21,1.98567,41.7183,1.49023,0.5
22,1.92585,33.1207,1.53478,0.5
23,1.76031,27.9781,1.58169,0.5
24,1.67753,26.7825,1.62991,0.5
25,1.70265,180.336,1.68034,0.5
26,1.69897,41.0975,1.73326,0.5
27,1.59057,19.7965,1.7889,0.5
28,1.75591,352.694,1.84446,0.5
29,1.60721,27.7955,1.9034,0.5
30,1.68121,182.044,1.96396,0.5
31,1.64154,30.1192,2.02639,0.5
32,1.58914,367.974,2.0911,0.5
33,1.41766,19.3465,2.15956,0.5
34,1.50445,359.1,2.22936,0.5
35,1.32727,18.0655,2.30294,0.5
36,1.26916,16.7824,2.37839,0.5
37,1.35819,985.177,2.45529,0.5
38,1.36855,86.1058,2.53607,0.5
39,1.37094,114.05,2.61807,0.5
40,1.41455,69.5634,2.70432,0.5
41,1.22231,18.6223,2.79515,0.5
42,1.2092,28.7634,2.88825,0.5
43,1.18787,32.3325,2.98277,0.5
44,1.14987,46.1638,3.08152,0.5
45,1.29411,88.7621,3.18171,0.5
46,1.33137,260.245,3.28524,0.5
47,1.07874,14.4448,3.39475,0.5
48,1.03616,24.4958,3.50905,0.5
49,1.03852,25.9543,3.62556,0.5
50,1.05443,34.7232,3.74845,0.5
51,0.990101,22.9837,3.87601,0.5
52,0.981306,134.3,4.00754,0.5
53,1.06504,223.774,4.14155,0.5
54,1.02054,34.6355,4.2822,0.5
55,0.989552,41.4562,4.42818,0.5
56,0.9303,40.0384,4.57827,0.5
57,0.964912,48.6029,4.7345,0.5
58,0.866421,43.4064,4.8989,0.5
59,0.932205,111.823,5.06715,0.5
60,0.858055,26.1801,5.23995,0.5
61,0.871773,85.5773,5.421,0.5
62,0.871504,55.1413,5.60719,0.5
63,0.881451,126.757,5.79779,0.5
64,0.86482,35.2635,5.99554,0.5
65,0.906744,134.435,6.19835,0.5
66,0.793276,61.6825,6.40695,0.5
67,0.822689,256.688,6.62284,0.5
68,0.728647,70.0936,6.85058,0.5
69,0.678904,49.5366,7.08643,0.5
70,0.628773,25.4194,7.33193,0.5
71,0.627424,28.334,7.58426,0.5
72,0.666197,49.5507,7.84369,0.5
73,0.729584,794.336,8.11361,0.5
74,0.6821,99.3343,8.39347,0.5
75,0.694025,120.913,8.68084,0.5
76,0.685932,62.469,8.97889,0.5
77,0.683825,64.2698,9.28931,0.5
78,0.63047,36.1964,9.61659,0.5
79,0.602358,42.0591,9.94951,0.5
80,0.571489,824.992,10.2964,0.5
81,0.547924,87.6419,10.6563,0.5
82,0.540022,88.3995,11.0291,0.5
83,0.573545,2171.1,11.4133,0.5
84,0.586048,119.568,11.8092,0.5
85,0.552412,51.9428,12.2231,0.5
86,0.54797,347.98,12.6521,0.5
87,0.547359,55.6813,13.0979,0.5
88,0.505234,2096.69,13.5564,0.5
89,0.497807,98.1719,14.0351,0.5
90,0.450617,45.4976,14.5257,0.5
91,0.468088,136.241,15.0345,0.5
92,0.462309,1100.95,15.5646,0.5
93,0.435499,635.911,16.1099,0.5
94,0.41334,795.596,16.6822,0.5
95,0.417906,215.709,17.2691,0.5
96,0.380957,58.932,17.8853,0.5
97,0.385008,197.45,18.514,0.5
98,0.402437,116.268,19.1682,0.5
99,0.381252,66.7997,19.8525,0.5
100,0.379627,114.557,20.5561,0.5
101,0.370302,167.253,21.287,0.5
102,0.361582,91.1741,22.0423,0.5
103,0.345356,90.7965,22.8326,0.5
104,0.320486,79.2532,23.6513,0.5
105,0.295042,280.201,24.5032,0.5
106,0.308029,94.9857,25.382,0.5
107,0.297842,87.7175,26.2998,0.5
108,0.280947,144.945,27.2466,0.5
109,0.290707,156.399,28.2238,0.5
110,0.286566,168.645,29.2346,0.5
111,0.246199,58.8173,30.2985,0.5
